sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
ERR1040737	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1040738	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1040739	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040799	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1040855	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	R	R	S
ERR1040901	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	R	R	S
ERR1040748	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
ERR1040890	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	R	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
ERR1040838	R	S	S	S	R	S	S	S	S	S	S	S	R	S	R	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	S	R	R	R	S	R	R	S	S	S
ERR1040893	R	S	S	S	R	S	S	S	S	S	S	S	R	S	R	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	S	R	R	R	S	R	R	S	S	S
ERR1040750	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	S	R	S	R	S	S	R	S	S	S	R	R	R	R	R
ERR1040751	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	R	S	S	R	S	R	S	S	R	S	S	S	R	R	S	R	R
ERR1040821	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
ERR1040836	R	S	S	S	R	S	S	S	S	S	S	S	R	S	R	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	S	R	R	R	S	R	R	S	S	S
ERR1040757	R	S	S	S	R	R	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	R	S
ERR1040796	R	S	S	S	R	R	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	R	S
ERR1040761	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040825	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040781	R	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	R	R	S
ERR1040797	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1040784	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
ERR1040903	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
ERR1040921	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040927	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040926	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
ERR1040949	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
ERR1041087	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	R	S	R	S
ERR1040922	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	R	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040929	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
ERR1040995	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1041027	R	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	R	R
ERR1040959	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
ERR1040970	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
ERR1040934	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
ERR1040991	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#2	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#1	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#27	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#28	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#38	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#39	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#66	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#67	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#3	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#4	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#7	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#8	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	S	R
17059_1#9	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#10	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#12	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#13	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#16	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	S	R
17059_1#17	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	S	S	R	S	S	R	S	S	S
