CC	outgroup_CC	isolate_chosen	collection_chosen
101	88	14623_7#71	coll2017
121	425	14623_2#84	coll2017
12	361	14200_6#87	coll2017
130	121	SRR3728413	price2016
15	80	14200_6#38	coll2017
182	130	14200_6#25	coll2017
1	9	ERR1040820	auguet2016
22	22-tail	SRR3730587	price2016
25	1	14200_6#33	coll2017
30	398	14412_8#25	coll2017
361	12	14623_5#14	coll2017
398	45	14200_6#43	coll2017
45	398	14412_8#25	coll2017
59	50	SRR3729267	price2016
5	1	14200_6#33	coll2017
72	9	ERR1040820	auguet2016
7	12	14623_5#14	coll2017
80	20	SRR3728505	price2016
88	101	SRR3728626	price2016
8	97	14448_2#20	coll2017
