curve_id	sample_id	repeat_id	environment
MPROS0487_019	MPROS0487	1	19
MPROS0487_019.1	MPROS0487	2	19
MPROS0487_019.2	MPROS0487	3	19
MPROS0487_019.3	MPROS0487	4	19
MPROS0487_019.4	MPROS0487	5	19
MPROS0487_019.5	MPROS0487	6	19
MPROS0487_019.6	MPROS0487	7	19
MPROS0487_019.7	MPROS0487	8	19
MPROS0487_019.8	MPROS0487	9	19
MPROS2026_019	MPROS2026	1	19
MPROS2026_019.1	MPROS2026	2	19
MPROS2026_019.2	MPROS2026	3	19
MPROS2026_019.3	MPROS2026	4	19
MPROS2026_019.4	MPROS2026	5	19
MPROS2026_019.5	MPROS2026	6	19
MPROS2026_019.6	MPROS2026	7	19
MPROS2026_019.7	MPROS2026	8	19
MPROS2026_019.8	MPROS2026	9	19
MPROS0065_019	MPROS0065	1	19
MPROS0065_019.1	MPROS0065	2	19
MPROS0065_019.2	MPROS0065	3	19
MPROS0065_019.3	MPROS0065	4	19
MPROS0065_019.4	MPROS0065	5	19
MPROS0065_019.5	MPROS0065	6	19
MPROS0065_019.6	MPROS0065	7	19
MPROS0065_019.7	MPROS0065	8	19
MPROS0065_019.8	MPROS0065	9	19
MPROS1861_019	MPROS1861	1	19
MPROS1861_019.1	MPROS1861	2	19
MPROS1861_019.2	MPROS1861	3	19
MPROS1861_019.3	MPROS1861	4	19
MPROS1861_019.4	MPROS1861	5	19
MPROS1861_019.5	MPROS1861	6	19
MPROS1861_019.6	MPROS1861	7	19
MPROS1861_019.7	MPROS1861	8	19
MPROS1861_019.8	MPROS1861	9	19
MPROS0420_019	MPROS0420	1	19
MPROS0420_019.1	MPROS0420	2	19
MPROS0420_019.2	MPROS0420	3	19
MPROS0420_019.3	MPROS0420	4	19
MPROS0420_019.4	MPROS0420	5	19
MPROS0420_019.5	MPROS0420	6	19
MPROS0420_019.6	MPROS0420	7	19
MPROS0420_019.7	MPROS0420	8	19
MPROS0420_019.8	MPROS0420	9	19
MPROS0443_019	MPROS0443	1	19
MPROS0443_019.1	MPROS0443	2	19
MPROS0443_019.2	MPROS0443	3	19
MPROS0443_019.3	MPROS0443	4	19
MPROS0443_019.4	MPROS0443	5	19
MPROS0443_019.5	MPROS0443	6	19
MPROS0443_019.6	MPROS0443	7	19
MPROS0443_019.7	MPROS0443	8	19
MPROS0443_019.8	MPROS0443	9	19
MPROS1884_019	MPROS1884	1	19
MPROS1884_019.1	MPROS1884	2	19
MPROS1884_019.2	MPROS1884	3	19
MPROS1884_019.3	MPROS1884	4	19
MPROS1884_019.4	MPROS1884	5	19
MPROS1884_019.5	MPROS1884	6	19
MPROS1884_019.6	MPROS1884	7	19
MPROS1884_019.7	MPROS1884	8	19
MPROS1884_019.8	MPROS1884	9	19
MPROS1959_019	MPROS1959	1	19
MPROS1959_019.1	MPROS1959	2	19
MPROS1959_019.2	MPROS1959	3	19
MPROS1959_019.3	MPROS1959	4	19
MPROS1959_019.4	MPROS1959	5	19
MPROS1959_019.5	MPROS1959	6	19
MPROS1959_019.6	MPROS1959	7	19
MPROS1959_019.7	MPROS1959	8	19
MPROS1959_019.8	MPROS1959	9	19
X10770_3.44_019	10770_3#44	1	19
X10770_3.44_019.1	10770_3#44	2	19
X10770_3.44_019.2	10770_3#44	3	19
X10770_3.44_019.3	10770_3#44	4	19
X10770_3.44_019.4	10770_3#44	5	19
X10770_3.44_019.5	10770_3#44	6	19
X10770_3.44_019.6	10770_3#44	7	19
X10770_3.44_019.7	10770_3#44	8	19
X10770_3.44_019.8	10770_3#44	9	19
MPROS0022_019	MPROS0022	1	19
MPROS0022_019.1	MPROS0022	2	19
MPROS0022_019.2	MPROS0022	3	19
MPROS0022_019.3	MPROS0022	4	19
MPROS0022_019.4	MPROS0022	5	19
MPROS0022_019.5	MPROS0022	6	19
MPROS0022_019.6	MPROS0022	7	19
MPROS0022_019.7	MPROS0022	8	19
MPROS0022_019.8	MPROS0022	9	19
JE2_019	JE2	1	19
JE2_019.1	JE2	2	19
JE2_019.2	JE2	3	19
JE2_019.3	JE2	4	19
JE2_019.4	JE2	5	19
JE2_019.5	JE2	6	19
JE2_019.6	JE2	7	19
JE2_019.7	JE2	8	19
JE2_019.8	JE2	9	19
MPROS0857_019	MPROS0857	1	19
MPROS0857_019.1	MPROS0857	2	19
MPROS0857_019.2	MPROS0857	3	19
MPROS0857_019.3	MPROS0857	4	19
MPROS0857_019.4	MPROS0857	5	19
MPROS0857_019.5	MPROS0857	6	19
MPROS0857_019.6	MPROS0857	7	19
MPROS0857_019.7	MPROS0857	8	19
MPROS0857_019.8	MPROS0857	9	19
MPROS0237_019	MPROS0237	1	19
MPROS0237_019.1	MPROS0237	2	19
MPROS0237_019.2	MPROS0237	3	19
MPROS0237_019.3	MPROS0237	4	19
MPROS0237_019.4	MPROS0237	5	19
MPROS0237_019.5	MPROS0237	6	19
MPROS0237_019.6	MPROS0237	7	19
MPROS0237_019.7	MPROS0237	8	19
MPROS0237_019.8	MPROS0237	9	19
MPROS0593_019	MPROS0593	1	19
MPROS0593_019.1	MPROS0593	2	19
MPROS0593_019.2	MPROS0593	3	19
MPROS0593_019.3	MPROS0593	4	19
MPROS0593_019.4	MPROS0593	5	19
MPROS0593_019.5	MPROS0593	6	19
MPROS0593_019.6	MPROS0593	7	19
MPROS0593_019.7	MPROS0593	8	19
MPROS0593_019.8	MPROS0593	9	19
MPROS1912_019	MPROS1912	1	19
MPROS1912_019.1	MPROS1912	2	19
