curve_id	strain_id	nitrogen_source_pm3	r	auc_l
103356_A_A01	103356	Negative_Control	0.638333883114366	2991.74276211649
103356_A_A02	103356	Ammonia	0.672372392171503	3223.34227201703
103356_A_A03	103356	Nitrite	0.422308529968453	2117.51732091845
103356_A_A04	103356	Nitrate	0.625247980433548	3197.07664030845
103356_A_A05	103356	Urea	0.539896604313302	3426.90828152067
103356_A_A06	103356	Biure	0.575754658539597	3699.42284499837
103356_A_A07	103356	L-Alanine	0.550674051181064	3555.09386868326
103356_A_A08	103356	L-Arginine	0.537882798919542	3283.76404785014
103356_A_A09	103356	L-Asparagine	0.493742249046427	5625.32593848894
103356_A_A10	103356	L-Aspartic_Acid	0.622061718132843	3788.04628259386
103356_A_A11	103356	L-Cysteine	0.238964564509323	3578.60406087952
103356_A_A12	103356	L-Glutamic_Acid	0.495404335510792	5736.07919682206
103356_A_B01	103356	L-Glutamine	0.432318287700246	5551.03956941501
103356_A_B02	103356	Glycine	0.69813131831323	4268.38296717903
103356_A_B03	103356	L-Histidine	0.422962622160084	2800.76632950311
103356_A_B04	103356	L-Isoleucine	0.367876614617089	3607.53497193434
103356_A_B05	103356	L-Leucine	0.457652522190969	5844.79498208936
103356_A_B06	103356	L-Lysine	0.436404679749266	3534.09321858579
103356_A_B07	103356	L-Methionine	0.30566967664314	6318.16540029366
103356_A_B08	103356	L-Phenylalanine	0.371672013071289	5856.05225308809
103356_A_B09	103356	L-Proline	0.57943208928609	3539.36477480993
103356_A_B10	103356	L-Serine	0.418795916645284	4837.12874130417
103356_A_B11	103356	L-Threonine	0.587085863921651	4688.12458978164
103356_A_B12	103356	L-Tryptophan	0.440238618983663	4187.62245308319
103356_A_C01	103356	L-Tyrosine	0.316712580125967	2648.26785133199
103356_A_C02	103356	L-Valine	0.413803460564299	5719.37053594025
103356_A_C03	103356	D-Alanine	0.404224421794739	4197.05698838418
103356_A_C04	103356	D-Asparagine	0.50722848654149	4418.9271635705
103356_A_C05	103356	D-Aspartic_Acid	0.515744539157157	4093.86408637105
103356_A_C06	103356	D-Glutamic_Acid	0.344594961262251	5171.74721973455
103356_A_C07	103356	D-Lysine	0.49106859529599	4461.24037548823
103356_A_C08	103356	D-Serine	0.549398203130422	3886.38602613103
103356_A_C09	103356	D-Valine	0.336870094627107	5991.07471955993
103356_A_C10	103356	L-Citrulline	0.51996256319579	4407.60324590495
103356_A_C11	103356	L-Homoserine	0.394864164213168	3627.25494554534
103356_A_C12	103356	L-Ornithine	0.539215360431203	3715.62324674563
103356_A_D01	103356	N-Acetyl-L-Glutamic_Acid	0.508255192849315	3467.79269563734
103356_A_D02	103356	N-Phthaloyl-L-Glutamic_Acid	0.459582789480612	4061.25868960846
103356_A_D03	103356	L-Pyroglutamic_Acid	0.407081328465324	4809.64835689883
103356_A_D04	103356	Hydroxylamine	0.498730062563678	4766.03410202892
103356_A_D05	103356	Methylamine	0.46048701146238	5046.4005298458
103356_A_D06	103356	N-Amylamine	0.437094486443461	5131.52918457671
103356_A_D07	103356	N-Butylamine	0.435833204384697	5380.55402783339
103356_A_D08	103356	Ethylamine	0.421486955619867	5530.36976413171
103356_A_D09	103356	Ethanolamine	0.430417729497179	5153.8450193205
103356_A_D10	103356	Ethylenediamine	0.433480234831405	4665.29413115201
103356_A_D11	103356	Putrescine	0.578903354537437	3873.76973941429
103356_A_D12	103356	Agmatine	0.626096771379782	2309.21469327704
103356_A_E01	103356	Histamine	0.254694142483087	2842.18104636967
103356_A_E02	103356	ß-Phenylethyl-amine	0.607972958360634	4056.1467352165
103356_A_E03	103356	Tyramine	0.470091913168648	4252.44166460501
103356_A_E04	103356	Acetamide	0.439169858291104	5296.76404700722
103356_A_E05	103356	Formamide	0.465338707098384	5256.32562289781
103356_A_E06	103356	Glucuronamide	0.315322118039901	5342.76607264518
103356_A_E07	103356	D,L-Lactamide	0.39336474134387	5509.09031490934
103356_A_E08	103356	D-Glucosamine	0.365201284994187	6187.23192585921
103356_A_E09	103356	D-Galactosamine	0.362103283657619	6329.11880327987
103356_A_E10	103356	D-Mannosamine	0.380259836359875	5872.64046405227
103356_A_E11	103356	N-Acetyl-D-Glucosamine	0.601685298366529	4133.78509782969
103356_A_E12	103356	N-Acetyl-D-Galactosamine	0.436868838887516	3464.32428391996
103356_A_F01	103356	N-Acetyl-D-Mannosamine	0.537053196473879	3392.66227454533
103356_A_F02	103356	Adenine	0.346546439568686	2678.73660690814
103356_A_F03	103356	Adenosine	0.331553317511683	2311.76965584268
103356_A_F04	103356	Cytidine	0.390229812615676	5131.9315444173
103356_A_F05	103356	Cytosine	0.47077508508065	4692.66086073511
103356_A_F06	103356	Guanine	0.117026315394059	3982.69290535149
103356_A_F07	103356	Guanosine	0.258600401152664	4656.23678425805
103356_A_F08	103356	Thymine	0.434041194566887	4742.50721522154
103356_A_F09	103356	Thymidine	0.358870805371418	4711.61155400369
103356_A_F10	103356	Uracil	0.493854729964287	4434.27634002738
103356_A_F11	103356	Uridine	0.419120042995934	3354.15389290828
103356_A_F12	103356	Inosine	0.337280495652522	3743.50782978338
103356_A_G01	103356	Xanthine	0.34439376305647	3355.78548591585
103356_A_G02	103356	Xanthosine	0.468293143038088	5198.15893212706
103356_A_G03	103356	Uric_Acid	0.376881186451714	6111.6301423018
103356_A_G04	103356	Alloxan	0.357255077842377	4928.69936000176
