locus_tag	gene	product	type	start	end	strand	snpEff_locus_id
B7H15_00005	-	chromosomal replication initiator protein DnaA	CDS	0	1362	1	CDS_USA300_JE2_1_1362
B7H15_00010	-	DNA polymerase III subunit beta	CDS	1639	2773	1	CDS_USA300_JE2_1640_2773
B7H15_00015	-	RNA-binding protein	CDS	3153	3399	1	CDS_USA300_JE2_3154_3399
B7H15_00020	-	DNA replication and repair protein RecF	CDS	3395	4508	1	CDS_USA300_JE2_3396_4508
B7H15_00025	-	DNA gyrase subunit B	CDS	4517	6452	1	CDS_USA300_JE2_4518_6452
B7H15_00030	-	DNA gyrase subunit A	CDS	6488	9152	1	CDS_USA300_JE2_6489_9152
B7H15_00035	-	NAD(P)H-hydrate dehydratase	CDS	9238	10051	-1	CDS_USA300_JE2_9239_10051
B7H15_00040	-	histidine ammonia-lyase	CDS	10376	11891	1	CDS_USA300_JE2_10377_11891
B7H15_00045	-	hypothetical protein	CDS	12091	12280	-1	CDS_USA300_JE2_12092_12280
B7H15_00050	-	serine--tRNA ligase	CDS	12269	13556	1	CDS_USA300_JE2_12270_13556
B7H15_00055	-	azaleucine resistance protein AzlC	CDS	14205	14901	1	CDS_USA300_JE2_14206_14901
B7H15_00060	-	hypothetical protein	CDS	14897	15227	1	CDS_USA300_JE2_14898_15227
B7H15_00065	-	homoserine acetyltransferase	CDS	15589	16558	1	CDS_USA300_JE2_15590_16558
B7H15_00070	-	hypothetical protein	CDS	16848	17787	1	CDS_USA300_JE2_16849_17787
B7H15_00075	-	DHH family phosphoesterase	CDS	17801	19769	1	CDS_USA300_JE2_17802_19769
B7H15_00080	-	50S ribosomal protein L9	CDS	19765	20212	1	CDS_USA300_JE2_19766_20212
B7H15_00085	-	replicative DNA helicase	CDS	20243	21644	1	CDS_USA300_JE2_20244_21644
B7H15_00090	-	hypothetical protein	CDS	21693	21921	-1	CDS_USA300_JE2_21694_21921
B7H15_00095	-	adenylosuccinate synthetase	CDS	21921	23205	1	CDS_USA300_JE2_21922_23205
B7H15_00110	-	DNA-binding response regulator	CDS	24408	25110	1	CDS_USA300_JE2_24409_25110
B7H15_00115	-	cell wall metabolism sensor histidine kinase WalK	CDS	25122	26949	1	CDS_USA300_JE2_25123_26949
B7H15_00120	-	hypothetical protein	CDS	26941	28276	1	CDS_USA300_JE2_26942_28276
B7H15_00125	-	hypothetical protein	CDS	28276	29065	1	CDS_USA300_JE2_28277_29065
B7H15_00130	-	MBL fold metallo-hydrolase	CDS	29454	30255	1	CDS_USA300_JE2_29455_30255
B7H15_00135	-	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase	CDS	30482	32801	1	CDS_USA300_JE2_30483_32801
B7H15_00140	-	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	CDS	33168	33648	1	CDS_USA300_JE2_33169_33648
B7H15_00145	-	hypothetical protein	CDS	33969	35226	1	CDS_USA300_JE2_33970_35226
B7H15_00150	-	IS6 family transposase IS431mec	CDS	35333	36008	-1	CDS_USA300_JE2_35334_36008
B7H15_00155	-	nucleoid-structuring protein H-NS	CDS	36043	36433	1	CDS_USA300_JE2_36044_36433
