14200_6#38,0,116,299,299,300,152,140,122,4,128,133,290,288,1,137,281,288,150,111,274,132,9619,21617
14200_6#60,116,0,271,271,272,124,112,94,114,14,105,262,260,115,99,253,260,122,83,246,104,9590,21619
14200_7#7,299,271,0,48,49,285,285,277,297,283,288,63,71,298,293,56,61,283,255,65,283,9643,21680
14208_8#45,299,271,48,0,0,285,285,277,297,283,288,63,71,298,293,56,61,283,255,65,283,9643,21688
14324_8#42,300,272,49,0,0,286,286,278,298,284,289,64,72,299,294,57,62,284,256,66,284,9646,21674
14355_1#82,152,124,285,285,286,0,138,130,150,136,141,276,274,151,145,267,274,4,123,260,136,9599,21642
14412_8#33,140,112,285,285,286,138,0,117,138,124,128,276,274,139,133,267,274,136,112,260,124,9576,21590
14412_8#45,122,94,277,277,278,130,117,0,120,106,11,268,266,121,115,259,266,128,0,252,110,9587,21617
14555_7#19,4,114,297,297,298,150,138,120,0,126,131,288,286,3,135,279,286,148,109,272,130,9626,21628
14623_3#47,128,14,283,283,284,136,124,106,126,0,117,274,272,127,112,265,272,134,95,258,116,9603,21632
14623_3#62,133,105,288,288,289,141,128,11,131,117,0,279,277,132,126,270,277,139,11,263,121,9603,21619
14623_6#85,290,262,63,63,64,276,276,268,288,274,279,0,62,289,284,47,4,274,246,56,274,9605,21640
14623_7#72,288,260,71,71,72,274,274,266,286,272,277,62,0,287,282,53,60,272,244,54,272,9617,21639
14672_2#28,1,115,298,298,299,151,139,121,3,127,132,289,287,0,137,280,287,149,110,273,131,9618,21608
8524_3#46,137,99,293,293,294,145,133,115,135,112,126,284,282,137,0,275,282,144,104,268,126,9598,21618
8490_3#68,281,253,56,56,57,267,267,259,279,265,270,47,53,280,275,0,45,265,237,47,265,9598,21490
8447_7#47,288,260,61,61,62,274,274,266,286,272,277,4,60,287,282,45,0,272,244,54,272,9591,21608
8447_7#94,150,122,283,283,284,4,136,128,148,134,139,274,272,149,144,265,272,0,121,258,134,9596,21630
8525_1#44,111,83,255,255,256,123,112,0,109,95,11,246,244,110,104,237,244,121,0,242,117,9010,20869
ERR1040869,274,246,65,65,66,260,260,252,272,258,263,56,54,273,268,47,54,258,242,0,258,9648,21741
ERR1040899,132,104,283,283,284,136,124,110,130,116,121,274,272,131,126,265,272,134,117,258,0,9626,21708
SRR3728505,9619,9590,9643,9643,9646,9599,9576,9587,9626,9603,9603,9605,9617,9618,9598,9598,9591,9596,9010,9648,9626,0,21910
EMRSA15,21617,21619,21680,21688,21674,21642,21590,21617,21628,21632,21619,21640,21639,21608,21618,21490,21608,21630,20869,21741,21708,21910,0
