sampleId	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
10361_1#1	10361_1#1.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	37	30	30	25	18	2825113	2819995	2805642	2805642	2709281	2431142	41	326295	2822693	150558	70359	7	13	0.04
10361_1#2	10361_1#2.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	43	35	26	26	22	17	2826460	2823115	2803805	2803805	2729878	2537358	37	348183	2824263	150818	107892	7	12	0.04
10361_1#3	10361_1#3.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	50	36	30	29	25	17	2825581	2818467	2804820	2798483	2730037	2410669	40	282620	2821551	150932	88228	7	13	0.00
10361_1#5	10361_1#5.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	35	29	28	24	19	2823706	2818530	2807356	2800565	2732346	2539549	39	270603	2821245	147106	107898	8	13	0.00
10361_1#89	10361_1#89.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	40	34	26	26	24	18	2826374	2823505	2805727	2805727	2768013	2548708	36	348157	2824586	150740	105735	7	13	0.00
10361_1#90	10361_1#90.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	40	33	26	26	21	17	2824136	2820632	2805917	2805917	2713796	2567561	35	326301	2822198	168498	107979	7	12	0.00
10361_1#92	10361_1#92.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	34	27	27	23	17	2822358	2818593	2802356	2802356	2740835	2511741	38	304547	2821068	163737	107886	7	12	0.00
10361_1#93	10361_1#93.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	49	36	29	28	24	17	2824981	2819323	2803206	2794310	2732679	2465235	38	282632	2820735	167630	107886	7	12	0.04
10361_1#95	10361_1#95.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	33	28	28	23	17	2824158	2820352	2809201	2809201	2725249	2468314	35	280149	2821729	170645	107787	7	12	0.00
10770_3#14	10770_3#14.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	32	29	27	25	18	2818363	2816936	2809489	2791418	2768723	2497969	33	403572	2817905	127274	86963	7	13	0.85
