submodule	subsystem	reaction_id	enzyme_name	locus_tag	gene_gff	product_gff	start_gff	end_gff	submodule_cds_length
Alternative carbon metabolism	Carbohydrate Metabolism;Cell Wall/Membrane/Envelope Metabolism;Energy Production and Conversion;Exchange;Lipid Metabolism;Transport	AB6PGH;ACGApts;ACMANApts;ACNAMt2;ACNMLr;AGDC;AH6PI;ALCD1;ALKP;AMANAPEr;AMANK;DDGLK;DHAPT;EDA;EX_arbt_e;EX_g6p_e;EX_malt_e;EX_malttr_e;EX_mnl_e;EX_sucr_e;EX_tre_e;FBA2;FFSD;FF_26;FRUpts;G6PDA;G6PI3;G6PP;G6Pt6_2;GAMpts;GF6PTAr;GLCURtex;GUI1;HEX1;M1PD;MALT;MALTAT;MALTTRabc;MALTTRpts;MALTabc;MALTpts;MANAO;MLTG1;MNLpts;MNNH;PNPA3;RU5PS;SUCR;SUCpts;TRE6PH;TREpts	Arbutin 6-phosphate glucohydrolase;N-Acetyl-D-glucosamine transport via PEP:Pyr PTS;N-acetyl-D-mannosamine transport via PTS;N-acetylneuraminate proton symport;N-Acetylneuraminate lyase (reversible);N-acetylglucosamine-6-phosphate deacetylase;Arabino-3-hexulose-6-P Isomerase;alcohol dehydrogenase (methanol);alkaline phosphatase;N-acetylmannosamine 6-phosphate epimerase;N-acetyl-D-mannosamine kinase;2-dehydro-3-deoxygluconokinase;Dihydroxyacetone phosphotransferase;2-dehydro-3-deoxy-phosphogluconate aldolase;Arbutin exchange;D-Glucose 6-phosphate exchange;Maltose exchange;Maltotriose exchange;D-Mannitol exchange;Sucrose exchange;Trehalose exchange;D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase;beta-fructofuranosidase;Arbutin transport via PEP Pyr PTS ;D-fructose transport via PEP:Pyr PTS;glucosamine-6-phosphate deaminase;Glucose-6-phosphate isomerase;glucose-6-phosphate phosphatase;Glucose-6-phosphate transport via phosphate antiport ;D-glucosamine transport via PEP:Pyr PTS;Glutamine-fructose-6-phosphate transaminase;D-glucuronate transport via proton symport, reversible ;glucuronate isomerase (D-glucuronate);hexokinase (D-glucose:ATP);mannitol-1-phosphate 5-dehydrogenase;alpha-glucosidase;maltose O-acetyltransferase;Maltotriose transport via ABC system;Maltotriose transport via PTS;Maltose transport via ABC system;Maltose transport via PEP:Pyr PTS;Mannonate oxidoreductase;Maltodextrin glucosidase (maltotriose);mannitol transport via PEP:Pyr PTS;D-mannonate hydrolyase;Protein-Npai-phosphohistidine sugar Npai-phosphotransferase ;Ribulose-5-P Synthetase;sucrose hydrolyzing enzyme;Sucrose transport via PEP:Pyr PTS;trehalose-6-phosphate hydrolase;Trehalose transport via PEP:Pyr PTS	B7H15_01055;B7H15_01145;B7H15_01150;B7H15_01155;B7H15_01160;B7H15_01305;B7H15_01430;B7H15_01435;B7H15_01740;B7H15_01755;B7H15_02485;B7H15_02490;B7H15_03110;B7H15_03115;B7H15_03120;B7H15_03130;B7H15_03640;B7H15_03645;B7H15_03650;B7H15_03905;B7H15_03910;B7H15_04265;B7H15_04970;B7H15_05615;B7H15_05620;B7H15_07015;B7H15_07505;B7H15_08295;B7H15_08500;B7H15_09405;B7H15_11315;B7H15_11800;B7H15_11950;B7H15_11955;B7H15_11960;B7H15_11965;B7H15_11970;B7H15_12885;B7H15_13190;B7H15_13955;B7H15_14220;B7H15_14630	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	PTS glucose EIICBA component;sugar ABC transporter ATP-binding protein;maltose ABC transporter substrate-binding protein;maltose ABC transporter permease;maltose ABC transporter permease;PTS glucose transporter subunit IIB;PTS glucose transporter subunit IIABC;6-phospho-beta-glucosidase;N-acetylneuraminate lyase;N-acetylmannosamine-6-phosphate 2-epimerase;PTS trehalose transporter subunit IIBC;glucohydrolase;glucosamine-6-phosphate deaminase;3-hexulose-6-phosphate synthase;6-phospho-3-hexuloisomerase;proline/betaine transporter;dihydroxyacetone kinase subunit DhaK;dihydroxyacetone kinase subunit L;PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM;PTS fructose transporter subunit IIC;N-acetylglucosamine-6-phosphate deacetylase;HPr kinase/phosphorylase;glucose-6-phosphate isomerase;phosphocarrier protein HPr;phosphoenolpyruvate--protein phosphotransferase;catalase;glucose-specific phosphotransferase enzyme IIA component;alpha-glucosidase;glucokinase;PTS glucose transporter subunit IIBC;sucrose-6-phosphate hydrolase;fructose-bisphosphate aldolase;glutamine--fructose-6-phosphate aminotransferase;PTS mannitol transporter subunit IICB;PTS lactose transporter subunit IIB;PTS mannitol transporter subunit IIA;mannitol-1-phosphate 5-dehydrogenase;PTS alpha-glucoside transporter subunit IIBC;PTS maltose transporter subunit IIBC;MFS transporter;maltose acetyltransferase;alkaline phosphatase	221557;246385;247495;248769;250039;284424;311033;311840;366996;370113;504433;505924;634100;634935;635569;637379;726101;727111;727688;773807;776073;844332;959883;1093132;1093401;1364882;1463209;1624536;1659616;1839241;2152600;2242762;2271528;2274014;2275587;2277731;2278165;2441043;2498919;2645950;2696359;2772142	223603;247483;248767;250038;250879;285954;311825;313277;367878;370782;505861;507565;634859;635568;636118;638780;727070;727696;728051;775766;777255;845265;961215;1093399;1095120;1366400;1463710;1626186;1660603;1840708;2154085;2243623;2273334;2275553;2277720;2278166;2279272;2442648;2500362;2647228;2696959;2773567	49426
Amino acid catabolism	Amino Acid Metabolism	AMPEP1;AMPEP10;AMPEP11;AMPEP12;AMPEP13;AMPEP14;AMPEP15;AMPEP16;AMPEP17;AMPEP18;AMPEP2;AMPEP3;AMPEP4;AMPEP5;AMPEP6;AMPEP7;AMPEP8;AMPEP9;AMPTASECG;GLYCYSAP;GLYLEUAP;GLYTYRAP	aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase;aminopeptidase;aminopeptidase;aminopeptidase;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;aminopeptidase ;alanyl aminopeptidase (cys-gly);Gly-Cys aminopeptidase ;Gly-Leu aminopeptidase ;Gly-Try aminopeptidase 	B7H15_08410	-	peptidase M24 family protein	1646529	1647591	1063
Anaplerotic Reactions	Energy Production and Conversion	ME2;PPA;PPC;PPCK;SERD_Lr	malic enzyme (NADP);inorganic diphosphatase;Phosphoenolpyruvate carboxylase;phosphoenolpyruvate carboxykinase;L-serine deaminase (rev)	B7H15_06680;B7H15_09270;B7H15_09750;B7H15_10710;B7H15_14075;B7H15_14080	-;-;-;-;-;-	3-oxoacyl-ACP reductase;NAD-dependent malic enzyme;phosphoenolpyruvate carboxykinase (ATP);manganese-dependent inorganic pyrophosphatase;L-serine dehydratase, iron-sulfur-dependent subunit alpha;L-serine dehydratase, iron-sulfur-dependent subunit beta	1306876;1811303;1917129;2067896;2666492;2667405	1307581;1812533;1918722;2068826;2667392;2668086	6045
anhydromuropeptides recycling	Cell Wall/Membrane/Envelope Metabolism	ACM6PH;AGMHw;ANHMKw	N-acetylmuramate 6-phosphate hydrolase;Lytic transglycosylase;1,6-anhydro-N-acetyl-beta-muramate 6-phosphotransferase	B7H15_01065;B7H15_01070;B7H15_11645;B7H15_14290	-;-;-;-	N-acetylmuramic acid 6-phosphate etherase;permease;transglycosylase SceD;transglycosylase IsaA	225243;226151;2217033;2713141	226140;227606;2217729;2713843	3754
Asparagine Biosynthesis	Amino Acid Metabolism	AACTOOR;ASPTRA;ASPTRS2	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing);Asn-tRNAAsp-dependent amidotransferase;Aspartyl-tRNA synthetase (AspRS)	B7H15_08920;B7H15_10595;B7H15_10600;B7H15_10605	-;-;gatA;-	aspartate--tRNA ligase;aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B;glutamyl-tRNA(Gln) amidotransferase subunit A;aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	1737633;2042624;2044064;2045523	1739400;2044052;2045522;2045826	4960
Aspartate Metabolism	Amino Acid Metabolism;Transport	ASAD;ASNN;ASNt2r;ASPK;ASPTA;HSDx;HSDy	aspartate-semialdehyde dehydrogenase;L-asparaginase;L-asparagine reversible transport via proton symport;aspartate kinase;aspartate transaminase;homoserine dehydrogenase (NADH);homoserine dehydrogenase (NADPH)	B7H15_06975;B7H15_06980;B7H15_07340;B7H15_07345;B7H15_07805;B7H15_10805	-;-;-;-;-;-	aspartate kinase;homoserine dehydrogenase;aspartate kinase;aspartate-semialdehyde dehydrogenase;L-asparaginase;aspartate aminotransferase	1356702;1358275;1431689;1432958;1549480;2082011	1358085;1359556;1432895;1433948;1550449;2083298	7122
Betaine biosynthesis	Cofactor and Prosthetic Group Metabolism	CHOLD	choline dehydrogenase	B7H15_14510	-	oxygen-dependent choline dehydrogenase	2750383	2752093	1711
Biotin biosynthesis	Cofactor and Prosthetic Group Metabolism;Exchange;Transport	AMAOTr;AOXSr;BTNt;BTNt2i;BTS3r;BTS4;CHCOAL;DBTS;EGLACPR;EX_btn_e;HGLACPHL;HPIMHL;KGLACPR;KPIMD;KPIMR;MALACPD;MALCOAM;PIMR	adenosylmethionine-8-amino-7-oxononanoate transaminase;8-amino-7-oxononanoate synthase;Biotin ABC transporter ;Biotin uptake (diffusion);biotin synthase;Biotin synthase;6-carboxyhexanoate-CoA ligase;dethiobiotin synthase;Enoylglutaryl-ACP methyl ester reduction;Biotin exchange;3-Hydroxyglutaryl-ACP methyl ester hydro-lyase;3-Hydroxypimeloyl-ACP methyl ester hydro-lyase;3-Ketoglutaryl-ACP methyl ester reduction;Enoylglutaryl-ACP methyl ester C-acyltransferase decarboxylating;3-Ketopimeloyl-ACP methyl ester reductase;Malonyl-ACP methyl ester C-acyltransferase decarboxylating;Malonyl-coa methylation;Enoylpimeloyl-ACP methyl ester reduction	B7H15_05070;B7H15_05075;B7H15_05210;B7H15_06410;B7H15_11660;B7H15_12665;B7H15_13445;B7H15_13450;B7H15_13455;B7H15_13460;B7H15_13465	-;-;-;-;-;-;-;-;-;-;-	3-oxoacyl-ACP synthase III;beta-ketoacyl-[acyl-carrier-protein] synthase II;enoyl-ACP reductase;beta-ketoacyl-ACP reductase;beta-hydroxyacyl-ACP dehydratase;biotin transporter BioY;6-carboxyhexanoate--CoA ligase;8-amino-7-oxononanoate synthase;biotin synthase;adenosylmethionine--8-amino-7-oxononanoate transaminase;dethiobiotin synthase	986168;987121;1015053;1245399;2219205;2400878;2547167;2547870;2548963;2549972;2551308	987110;988366;1015824;1246134;2219646;2401433;2547860;2548986;2549971;2551331;2551995	9515
Branched amino acid: Valine, Leucine, and Isoleucine biosynthesis	Amino Acid Metabolism;Transport	2ACLMM;ACHBS;ACLS_b;DHAD1;DHAD3;ILETA;ILEt2r;IPMD;IPMD2;IPPMIa;IPPMIb;IPPS;KARA2i;KARA4;LEUTA;LEUt2r;THRD_L;VALTA	2-Acetolactate methylmutase ;2-aceto-2-hydroxybutanoate synthase;acetolactate synthase;dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate);R-2 3-Dihydroxy-3-methylpentanoate hydro-lyase ;isoleucine transaminase;L-Isoleucine reversible transport via proton symport;3-isopropylmalate dehydrogenase;(2S)-2-isopropyl-3-oxosuccinate decarboxylation (spontaneous);3-isopropylmalate dehydratase;2-isopropylmalate hydratase;2-isopropylmalate synthase;ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate);(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase;leucine transaminase;L-leucine reversible transport via proton symport;L-threonine deaminase;valine transaminase	B7H15_01035;B7H15_01680;B7H15_03025;B7H15_05040;B7H15_07585;B7H15_11385;B7H15_11390;B7H15_11395;B7H15_11400;B7H15_11405;B7H15_11410;B7H15_11415;B7H15_11420;B7H15_11425;B7H15_12280;B7H15_14465	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	branched-chain amino acid transport system II carrier protein;branched-chain amino acid transport system II carrier protein;branched chain amino acid aminotransferase;2-isopropylmalate synthase;serine/threonine dehydratase;dihydroxy-acid dehydratase;acetolactate synthase, large subunit, biosynthetic type;acetolactate synthase 1 regulatory subunit;ketol-acid reductoisomerase;2-isopropylmalate synthase;3-isopropylmalate dehydrogenase;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase small subunit;L-threonine dehydratase biosynthetic IlvA;acetolactate synthase;amino acid permease	217388;355721;611224;981306;1506260;2166450;2168166;2169935;2170326;2171360;2172892;2173952;2175323;2175910;2345368;2740450	218744;357029;612301;982452;1507301;2168139;2169936;2170190;2171331;2172890;2173939;2175323;2175896;2177179;2347033;2741899	19564
Branched chain fatty acid metabolism	Lipid Metabolism	10M3HDHL;10M3OACPO;10M3OUO;10MDOD;10MTDAO;10MTU2A;10MUAM;11M3ODO;11MDAMCA;11MHDOD;11MTRDOC;12M3HTDH;12M3HTHL;12M3OXOT;12M3TDA;12MTACPM;12MTT2E;12TTACA;13M3HTDAHL;13M3OTDAO;13MTDAM;13MTTDAO;14M3HDEC;14M3HPAHL;14M3OHO;14M3OP;14MHDAAD;14MTACPM;14MTHEAO;14MTP2EA;15M3HEXDA;15M3OHAO;15MHDAAD;15MTHACP;16M3HDEC;16M3HPAHL;16M3OHO;16M3OP;16MTHEAO;16MTP2EA;17M3HDEC;17M3OHO;17MTHEAO;2MACPT;2MPCAC;2MPCTF;3MBCOT;3METHMCAC;4ISOHELS;4M3G3P;4M3OHAT;4M3OPAO;4M3OXHA;4METPAC;4MHEAMA;4MTHACP;4MTRPE;5M3HHAL;5MET3OH;5MHACC;5MTH2EO;6M3HHL;6M3HOAHL;6M3OHAO;6M3OXO;6MHACPA;6MOAMCA;6MTHAO;6MTR2EO;7M3HOACPL;7M3ODO;7MOACA;7MTROCAC;8M3HDAL;8M3HNAHL;8M3OAO;8M3ONO;8MDAM;8METNO;8MNAMC;8MT2ACP;9M3HDL;9M3OXPA;9MDACP;9MDAM;ISOGL3P;MTDACP;OIVD1r;OIVD2;OIVD3	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase ;10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase ;10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase ;10-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;10-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific ;10-methyl-trans-undec-2-enoyl-ACP NAD oxidoreductase A-specific ;10-methyl-undecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;11-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase ;11-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase ;11-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific ;12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase ;12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase ;12-methyl-3-oxo-tridecanoyl-ACP NADP oxidoreductase ;12-methyl-3-oxo-tetra-decanoyl-ACP NADP oxidoreductase ;12-methyl-tridecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;12-methyl-trans-tridec-2-enoyl-ACP NAD oxidoreductase A-specific ;12-methyl-trans-tetra-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase ;13-methyl-3-oxo-tetra-decanoyl-ACP NADP oxidoreductase ;13-methyl-tetra-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;13-methyl-trans-tetra-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase ;14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase ;14-methyl-3-oxo-hexa-decanoyl-ACP NADP oxidoreductase ;14-methyl-3-oxo-pentadecanoyl-ACP NADP oxidoreductase ;14-methyl-hexa-decanoyl-ACP C-acyltransferase decarboxylating;14-methyl-tridecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase ;14-methyl-trans-hexa-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;14-methyl-trans-pentadec-2-enoyl-ACP NAD oxidoreductase A-specific ;15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase ;15-methyl-3-oxo-hexa-decanoyl-ACP NADP oxidoreductase ;15-methyl-hexa-decanoyl-ACP C-acyltransferase decarboxylating;15-methyl-trans-hexa-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;16-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase;16-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase;16-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase;16-methyl-3-oxo-pentadecanoyl-ACP NADP oxidoreductase;16-methyl-trans-hexa-dec-2-enoyl-ACP NAD;14-methyl-trans-pentadec-2-enoyl-ACP NAD oxidoreductase A-specifi;17-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase;17-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase;17-methyl-trans-hexa-dec-2-enoyl-ACP NAD;2-methylbutanoyl-CoA acyl-carrier-protein transferase ;2-methylpropionyl-CoA acyl-carrier-protein transferase ;10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase ;3-methylbutanoyl-CoA acyl-carrier-protein transferase ;3-methylbutanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase ;4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase ;4-methyl-3-oxo-hexanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;4-methyl-3-oxo-pentanoyl-ACP NADP oxidoreductase ;4-methyl-3-oxo-hexanoyl-ACP NADP oxidoreductase ;4-methyl-pentanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;4-methyl-hexanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;4-methyl-trans-hex-2-enoyl-ACP NAD oxidoreductase A-specific ;4-methyl-trans-pent-2-enoyl-ACP NAD oxidoreductase A-specific ;5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase ;5-methyl-3-oxo-hexanoyl-ACP NADP oxidoreductase ;5-methyl-hexanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;5-methyl-trans-hex-2-enoyl-ACP NAD oxidoreductase A-specific ;6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase ;6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase ;6-methyl-3-oxo-heptanoyl-ACP NADP oxidoreductase ;6-methyl-3-oxo-octanoyl-ACP NADP oxidoreductase ;6-methyl-heptanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;6-methyl-octanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;6-methyl-trans-hept-2-enoyl-ACP NAD oxidoreductase A-specific ;6-methyl-trans-oct-2-enoyl-ACP NAD oxidoreductase A-specific ;7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase ;7-methyl-3-oxo-octanoyl-ACP NADP oxidoreductase ;7-methyl-octanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;7-methyl-trans-oct-2-enoyl-ACP NAD oxidoreductase A-specific ;8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase ;8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase ;8-methyl-3-oxo-decanoyl-ACP NADP oxidoreductase ;8-methyl-3-oxo-nonanoyl-ACP NADP oxidoreductase ;8-methyl-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;8-methyl-trans-non-2-enoyl-ACP NAD oxidoreductase A-specific ;8-methyl-nonanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;8-methyl-trans-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase ;9-methyl-3-oxo-decanoyl-ACP NADP oxidoreductase ;9-methyl-trans-dec-2-enoyl-ACP NAD oxidoreductase A-specific ;9-methyl-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;2-methylpropionyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;12-methyl-tetra-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate);2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate);2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate)	B7H15_05070;B7H15_05075;B7H15_05210;B7H15_06405;B7H15_06410;B7H15_08340;B7H15_08345;B7H15_08350;B7H15_11660	-;-;-;-;-;-;-;-;-	3-oxoacyl-ACP synthase III;beta-ketoacyl-[acyl-carrier-protein] synthase II;enoyl-ACP reductase;malonyl CoA-ACP transacylase;beta-ketoacyl-ACP reductase;2-oxoglutarate dehydrogenase;alpha-ketoacid dehydrogenase subunit beta;2-oxoisovalerate dehydrogenase;beta-hydroxyacyl-ACP dehydratase	986168;987121;1015053;1244480;1245399;1632962;1634249;1635232;2219205	987110;988366;1015824;1245407;1246134;1634237;1635233;1636225;2219646	8311
