14200_6#87,0,245,250,6,5,245,7,241,77,245,244,249,246,117,249,218,276,276,248,269,91,91,90,89,91,94,91,93,95,94,91,88,148,10108,21213
14208_8#15,245,0,14,247,246,1,248,5,240,1,8,179,170,88,179,142,200,200,172,193,254,254,253,252,253,257,254,256,258,257,254,251,247,10130,21237
14324_8#6,250,14,0,252,251,13,253,9,246,13,12,183,174,92,183,146,204,204,176,197,259,259,258,257,258,262,259,261,263,262,259,256,252,10130,21230
14324_8#59,6,247,252,0,7,247,3,243,79,247,246,251,248,118,251,220,278,278,250,271,93,93,92,91,93,96,93,95,97,96,93,90,150,10113,21207
14555_7#21,5,246,251,7,0,246,8,242,78,246,245,250,247,118,250,219,277,277,249,270,92,92,91,90,92,95,92,94,96,95,92,89,149,10094,21192
14623_4#72,245,1,13,247,246,0,248,4,241,0,7,178,169,87,178,141,199,199,171,192,254,254,253,252,253,257,254,256,258,257,254,251,247,10122,21234
14623_5#5,7,248,253,3,8,248,0,244,80,248,247,252,249,119,252,221,279,279,251,272,94,94,93,92,94,97,94,96,98,97,94,91,151,10117,21226
14623_6#56,241,5,9,243,242,4,244,0,236,4,3,174,165,83,174,137,195,195,167,188,250,250,249,248,249,253,250,252,254,253,250,247,243,10122,21220
14623_7#69,77,240,246,79,78,241,80,236,0,240,240,245,242,111,245,214,272,272,245,265,83,83,82,81,83,86,83,85,87,86,83,79,143,10087,21188
14623_8#23,245,1,13,247,246,0,248,4,240,0,7,178,169,87,178,141,199,199,171,192,254,254,253,252,253,257,254,256,258,257,254,251,247,10113,21174
8524_5#6,244,8,12,246,245,7,247,3,240,7,0,177,168,86,177,140,198,198,170,191,253,253,252,251,252,256,253,255,257,256,253,250,246,10111,21190
SRR3728979,249,179,183,251,250,178,252,174,245,178,177,0,181,0,0,153,211,211,183,204,258,258,257,256,257,261,258,260,262,260,258,255,251,10095,21242
SRR3729115,246,170,174,248,247,169,249,165,242,169,168,181,0,90,181,133,198,198,0,185,254,254,253,252,253,257,254,256,258,257,254,252,248,10128,21289
SRR3729333,117,88,92,118,118,87,119,83,111,87,86,0,90,0,0,65,117,117,92,109,128,128,126,128,127,131,128,130,132,131,130,125,121,5110,9297
SRR3730705,249,179,183,251,250,178,252,174,245,178,177,0,181,0,0,153,211,211,183,204,258,258,257,256,257,261,258,260,262,260,258,255,251,10128,21299
SRR3730757,218,142,146,220,219,141,221,137,214,141,140,153,133,65,153,0,170,170,135,157,227,227,226,225,226,230,227,229,231,230,227,224,220,10091,21247
SRR3730787,276,200,204,278,277,199,279,195,272,199,198,211,198,117,211,170,0,0,200,221,284,284,283,282,283,287,284,285,288,287,284,282,278,10054,21209
SRR3730818,276,200,204,278,277,199,279,195,272,199,198,211,198,117,211,170,0,0,200,221,284,284,283,282,283,287,284,285,288,287,284,282,278,10056,21213
