locus_tag	gene	product	type	start	end	strand	snpEff_locus_id
SAEMRSA1500010	dnaA dnaH	chromosomal replication initiator protein DnaA	CDS	516	1878	1	CDS_EMRSA15_517_1878
SAEMRSA1500020	dnaN	DNA polymerase III, beta chain	CDS	2155	3289	1	CDS_EMRSA15_2156_3289
SAEMRSA1500030	-	conserved hypothetical protein	CDS	3669	3915	1	CDS_EMRSA15_3670_3915
SAEMRSA1500040	recF	DNA replication and repair protein RecF	CDS	3911	5024	1	CDS_EMRSA15_3912_5024
SAEMRSA1500050	gyrB novA	DNA gyrase subunit B	CDS	5036	6968	1	CDS_EMRSA15_5037_6968
SAEMRSA1500060	gyrA nalA cafB	DNA gyrase subunit A	CDS	7004	9674	1	CDS_EMRSA15_7005_9674
SAEMRSA1500070	-	conserved hypothetical protein	CDS	9761	10592	-1	CDS_EMRSA15_9762_10592
SAEMRSA1500080	hutH	putative histidine ammonia-lyase	CDS	10899	12414	1	CDS_EMRSA15_10900_12414
SAEMRSA1500090	serS	seryl-tRNA synthetase	CDS	12792	14079	1	CDS_EMRSA15_12793_14079
SAEMRSA1500100	-	putative membrane protein	CDS	14729	15425	1	CDS_EMRSA15_14730_15425
SAEMRSA1500110	-	putative membrane protein	CDS	15421	15751	1	CDS_EMRSA15_15422_15751
SAEMRSA1500120	-	putative hydrolase	CDS	16114	17083	1	CDS_EMRSA15_16115_17083
SAEMRSA1500130	-	putative membrane protein	CDS	17329	18316	1	CDS_EMRSA15_17330_18316
SAEMRSA1500140	-	putative membrane protein	CDS	18330	20298	1	CDS_EMRSA15_18331_20298
SAEMRSA1500150	rplI	50S ribosomal protein L9	CDS	20294	20741	1	CDS_EMRSA15_20295_20741
SAEMRSA1500160	dnaC	DnaB-like helicase	CDS	20772	22173	1	CDS_EMRSA15_20773_22173
SAEMRSA1500170	purA	putative adenylosuccinate synthetase	CDS	22450	23734	1	CDS_EMRSA15_22451_23734
SAEMRSA1500180	yycF	response regulator protein	CDS	24930	25638	1	CDS_EMRSA15_24931_25638
SAEMRSA1500190	yycG vicK	sensor kinase protein	CDS	25650	27477	1	CDS_EMRSA15_25651_27477
SAEMRSA1500200	yycH	putative exported protein	CDS	27460	28804	1	CDS_EMRSA15_27461_28804
SAEMRSA1500210	yycI	putative exported protein	CDS	28804	29593	1	CDS_EMRSA15_28805_29593
SAEMRSA1500220	yycJ	metallo-beta-lactamase superfamily protein	CDS	29988	30789	1	CDS_EMRSA15_29989_30789
SAEMRSA1500230	sasH	putative 5'-nucleotidase	CDS	30972	33333	1	CDS_EMRSA15_30973_33333
SAEMRSA1500240	-	conserved hypothetical protein	CDS	33700	34180	1	CDS_EMRSA15_33701_34180
SAEMRSA1500250	-	hypothetical protein	CDS	34501	35758	1	CDS_EMRSA15_34502_35758
SAEMRSA1500260	-	hypothetical protein	CDS	36172	36412	1	CDS_EMRSA15_36173_36412
SAEMRSA1500270	-	putative transposase	CDS	36443	37118	-1	CDS_EMRSA15_36444_37118
SAEMRSA1500280	-	HMG-CoA synthase (fragment)	CDS	37153	37543	1	CDS_EMRSA15_37154_37543
SAEMRSA1500290	ugpQ	glycerophosphoryl diester phosphodiesterase	CDS	38419	39163	1	CDS_EMRSA15_38420_39163
SAEMRSA1500300	-	conserved hypothetical protein	CDS	39259	39688	1	CDS_EMRSA15_39260_39688
SAEMRSA1500310	mecA	penicillin-binding protein 2 prime	CDS	39733	41740	-1	CDS_EMRSA15_39734_41740
SAEMRSA1500320a	mecR	methicillin resistance protein MecR1 (fragment)	CDS	41839	42814	1	CDS_EMRSA15_41840_42814
SAEMRSA1500320b	-	type I restriction-modification system endonuclease (fragment)	CDS	42818	43058	1	CDS_EMRSA15_42819_43058
SAEMRSA1500330	-	transposase	CDS	43048	44572	-1	CDS_EMRSA15_43049_44572
SAEMRSA1500340	-	conserved hypothetical protein	CDS	44707	45214	-1	CDS_EMRSA15_44708_45214
SAEMRSA1500350	-	hypothetical protein	CDS	45228	45540	-1	CDS_EMRSA15_45229_45540
SAEMRSA1500360	ccrB	site-specific recombinase	CDS	46498	48127	-1	CDS_EMRSA15_46499_48127
SAEMRSA1500370	ccrA	site-specific recombinase	CDS	48148	49498	-1	CDS_EMRSA15_48149_49498
SAEMRSA1500380	-	hypothetical protein	CDS	49731	51525	-1	CDS_EMRSA15_49732_51525
SAEMRSA1500390	-	hypothetical protein	CDS	51992	53576	1	CDS_EMRSA15_51993_53576
SAEMRSA1500400	-	hypothetical protein	CDS	53647	54580	1	CDS_EMRSA15_53648_54580
SAEMRSA1500410	-	hypothetical protein	CDS	55005	55383	1	CDS_EMRSA15_55006_55383
SAEMRSA1500420	-	hypothetical protein	CDS	55851	56349	1	CDS_EMRSA15_55852_56349
SAEMRSA1500430	-	conserved hypothetical protein	CDS	56544	57816	1	CDS_EMRSA15_56545_57816
SAEMRSA1500440	-	putative membrane protein	CDS	57812	58298	1	CDS_EMRSA15_57813_58298
SAEMRSA1500450	-	type I restriction-modification system DNA methylase	CDS	58336	59851	1	CDS_EMRSA15_58337_59851
SAEMRSA1500460	-	type I restriction-modification system specificity protein	CDS	59840	61073	1	CDS_EMRSA15_59841_61073
SAEMRSA1500470	-	type I restriction-modification system endonuclease	CDS	61050	64185	1	CDS_EMRSA15_61051_64185
SAEMRSA1500480	-	putative membrane protein	CDS	64297	65005	1	CDS_EMRSA15_64298_65005
SAEMRSA1500490	-	hypothetical protein	CDS	64997	65465	1	CDS_EMRSA15_64998_65465
SAEMRSA1500500	-	putative membrane protein (fragment)	CDS	65727	66306	-1	CDS_EMRSA15_65728_66306
SAEMRSA1500510	-	 Major Facilitator Superfamily protein	CDS	66286	67804	-1	CDS_EMRSA15_66287_67804
SAEMRSA1500520	-	TetR family regulatory protein	CDS	67951	68524	1	CDS_EMRSA15_67952_68524
SAEMRSA1500530	-	conserved hypothetical protein	CDS	68581	69568	-1	CDS_EMRSA15_68582_69568
