chromosome	TU_Id_mader2016	TU_strand_mader2016	TU_start_mader2016	TU_end_mader2016	TU_length_mader2016	TU_locus_tags_mader2016	TU_gene_names_mader2016	TU_ClcortreeUA_mader2016	TU_cds_length_mader2016	locus_tags_product_gff	locus_tags_type_gff	locus_tags_start_gff	locus_tags_end_gff	locus_tags_strand_gff	locus_tags_snpEff_locus_ids	TU_promoter_Id_mader2016	TU_promoter_start_mader2016	TU_promoter_end_mader2016	TU_promoter_length_mader2016
NCTC8325	U1	1	297	3282	2986	new_297_516_1, SAOUHSC_00001, new_1879_2155_1, SAOUHSC_00002	S1, dnaA, S2, dnaN	UA1	2496	-;chromosomal replication initiator protein DnaA;-;DNA polymerase III, beta subunit	-;CDS;-;CDS	-;516;-;2155	-;1878;-;3289	-;1;-;1	-;CDS_NCTC8325_517_1878;-;CDS_NCTC8325_2156_3289	U1_promoter_200bp	97	297	200
NCTC8325	U2	1	3632	9657	6026	SAOUHSC_00003, SAOUHSC_00004, SAOUHSC_00005, SAOUHSC_00006	NA, recF, gyrB, gyrA	UA2	5954	conserved hypothetical protein;DNA replication and repair protein, putative;DNA gyrase, B subunit;DNA gyrase, A subunit	CDS;CDS;CDS;CDS	3669;3911;5033;7004	3915;5024;6968;9668	1;1;1;1	CDS_NCTC8325_3670_3915;CDS_NCTC8325_3912_5024;CDS_NCTC8325_5034_6968;CDS_NCTC8325_7005_9668	U2_promoter_200bp	3432	3632	200
NCTC8325	U3	-1	9733	10701	969	new_10457_10702_-1, SAOUHSC_00007	S3, nnrD	UA3	702	-;conserved hypothetical protein	-;CDS	-;9754	-;10456	-;-1	-;CDS_NCTC8325_9755_10456	U3_promoter_200bp	10701	10901	200
NCTC8325	U4	1	10846	12445	1600	SAOUHSC_00008	hutH	UA4	1515	histidine ammonia-lyase	CDS	10892	12407	1	CDS_NCTC8325_10893_12407	U4_promoter_200bp	10646	10846	200
NCTC8325	U5	1	12457	14128	1672	new_12457_12691_1, new_12693_12785_1, SAOUHSC_00009, new_14073_14172_1	S4, S5, serS, S6	UA5	1287	-;-;seryl-tRNA synthetase;-	-;-;CDS;-	-;-;12785;-	-;-;14072;-	-;-;1;-	-;-;CDS_NCTC8325_12786_14072;-	U5_promoter_200bp	12257	12457	200
NCTC8325	U6	1	14662	15777	1116	SAOUHSC_00010, SAOUHSC_00012	NA, NA	UA6	1022	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	14721;15413	15417;15743	1;1	CDS_NCTC8325_14722_15417;CDS_NCTC8325_15414_15743	U6_promoter_200bp	14462	14662	200
NCTC8325	U7	1	15785	22135	6351	new_15785_16105_1, SAOUHSC_00013, new_17075_17337_1, SAOUHSC_00014, SAOUHSC_00015, SAOUHSC_00017, SAOUHSC_00018	S7, metX, S8, NA, NA, rplI, dnaC	UA7	5726	-;conserved hypothetical protein;-;conserved hypothetical protein;conserved hypothetical protein;ribosomal protein L9;replicative DNA helicase	-;CDS;-;CDS;CDS;CDS;CDS	-;16105;-;17364;18317;20281;20765	-;17074;-;18303;20285;20734;22166	-;1;-;1;1;1;1	-;CDS_NCTC8325_16106_17074;-;CDS_NCTC8325_17365_18303;CDS_NCTC8325_18318_20285;CDS_NCTC8325_20282_20734;CDS_NCTC8325_20766_22166	U7_promoter_200bp	15585	15785	200
NCTC8325	U8	1	17339	22152	4814	SAOUHSC_00014, SAOUHSC_00015, SAOUHSC_00017, SAOUHSC_00018	NA, NA, rplI, dnaC	UA3	4757	conserved hypothetical protein;conserved hypothetical protein;ribosomal protein L9;replicative DNA helicase	CDS;CDS;CDS;CDS	17364;18317;20281;20765	18303;20285;20734;22166	1;1;1;1	CDS_NCTC8325_17365_18303;CDS_NCTC8325_18318_20285;CDS_NCTC8325_20282_20734;CDS_NCTC8325_20766_22166	U8_promoter_200bp	17139	17339	200
NCTC8325	U9	1	22407	23733	1327	SAOUHSC_00019	purA	UA3	1284	adenylosuccinate synthetase	CDS	22443	23727	1	CDS_NCTC8325_22444_23727	U9_promoter_200bp	22207	22407	200
NCTC8325	U11	1	24769	29581	4813	new_24770_24930_1, SAOUHSC_00020, SAOUHSC_00021, SAOUHSC_00022, SAOUHSC_00023	S9, walR, walK, yycH, yycI	UA1	4602	-;two-component response regulator, putative;sensory box histidine kinase VicK, putative;conserved hypothetical protein;conserved hypothetical protein	-;CDS;CDS;CDS;CDS	-;24930;25644;27514;28798	-;25632;27471;28798;29587	-;1;1;1;1	-;CDS_NCTC8325_24931_25632;CDS_NCTC8325_25645_27471;CDS_NCTC8325_27515_28798;CDS_NCTC8325_28799_29587	U11_promoter_200bp	24569	24769	200
