locus_tag	gene	product	type	start	end	strand	snpEff_locus_id
SAOUHSC_00001	-	chromosomal replication initiator protein DnaA	CDS	516	1878	1	CDS_NCTC8325_517_1878
SAOUHSC_00002	-	DNA polymerase III, beta subunit	CDS	2155	3289	1	CDS_NCTC8325_2156_3289
SAOUHSC_00003	-	conserved hypothetical protein	CDS	3669	3915	1	CDS_NCTC8325_3670_3915
SAOUHSC_00004	-	DNA replication and repair protein, putative	CDS	3911	5024	1	CDS_NCTC8325_3912_5024
SAOUHSC_00005	-	DNA gyrase, B subunit	CDS	5033	6968	1	CDS_NCTC8325_5034_6968
SAOUHSC_00006	-	DNA gyrase, A subunit	CDS	7004	9668	1	CDS_NCTC8325_7005_9668
SAOUHSC_00007	-	conserved hypothetical protein	CDS	9754	10456	-1	CDS_NCTC8325_9755_10456
SAOUHSC_00008	-	histidine ammonia-lyase	CDS	10892	12407	1	CDS_NCTC8325_10893_12407
SAOUHSC_00009	-	seryl-tRNA synthetase	CDS	12785	14072	1	CDS_NCTC8325_12786_14072
SAOUHSC_00010	-	conserved hypothetical protein	CDS	14721	15417	1	CDS_NCTC8325_14722_15417
SAOUHSC_00012	-	conserved hypothetical protein	CDS	15413	15743	1	CDS_NCTC8325_15414_15743
SAOUHSC_00013	-	conserved hypothetical protein	CDS	16105	17074	1	CDS_NCTC8325_16106_17074
SAOUHSC_00014	-	conserved hypothetical protein	CDS	17364	18303	1	CDS_NCTC8325_17365_18303
SAOUHSC_00015	-	conserved hypothetical protein	CDS	18317	20285	1	CDS_NCTC8325_18318_20285
SAOUHSC_00017	-	ribosomal protein L9	CDS	20281	20734	1	CDS_NCTC8325_20282_20734
SAOUHSC_00018	-	replicative DNA helicase	CDS	20765	22166	1	CDS_NCTC8325_20766_22166
SAOUHSC_00019	-	adenylosuccinate synthetase	CDS	22443	23727	1	CDS_NCTC8325_22444_23727
SAOUHSC_00020	-	two-component response regulator, putative	CDS	24930	25632	1	CDS_NCTC8325_24931_25632
SAOUHSC_00021	-	sensory box histidine kinase VicK, putative	CDS	25644	27471	1	CDS_NCTC8325_25645_27471
SAOUHSC_00022	-	conserved hypothetical protein	CDS	27514	28798	1	CDS_NCTC8325_27515_28798
SAOUHSC_00023	-	conserved hypothetical protein	CDS	28798	29587	1	CDS_NCTC8325_28799_29587
SAOUHSC_00024	-	conserved hypothetical protein	CDS	29976	30777	1	CDS_NCTC8325_29977_30777
SAOUHSC_00025	-	conserved hypothetical protein	CDS	31004	33323	1	CDS_NCTC8325_31005_33323
SAOUHSC_00026	-	conserved hypothetical protein	CDS	33554	34034	-1	CDS_NCTC8325_33555_34034
SAOUHSC_00027	-	conserved hypothetical protein	CDS	33690	34170	1	CDS_NCTC8325_33691_34170
SAOUHSC_00028	-	hypothetical protein	CDS	34374	34509	-1	CDS_NCTC8325_34375_34509
SAOUHSC_00029	-	conserved hypothetical protein	CDS	34472	34565	1	CDS_NCTC8325_34473_34565
SAOUHSC_00030	-	conserved hypothetical protein	CDS	34711	36457	1	CDS_NCTC8325_34712_36457
SAOUHSC_00031	-	conserved hypothetical protein	CDS	36550	37003	-1	CDS_NCTC8325_36551_37003
SAOUHSC_00032	-	conserved hypothetical protein	CDS	37018	37120	-1	CDS_NCTC8325_37019_37120
SAOUHSC_00033	-	conserved hypothetical protein	CDS	37217	37973	-1	CDS_NCTC8325_37218_37973
SAOUHSC_00034	-	conserved hypothetical protein	CDS	37972	38233	-1	CDS_NCTC8325_37973_38233
SAOUHSC_00035	-	conserved hypothetical protein	CDS	38369	39437	1	CDS_NCTC8325_38370_39437
SAOUHSC_00036	-	conserved hypothetical protein	CDS	39467	40802	1	CDS_NCTC8325_39468_40802
SAOUHSC_00037	-	conserved hypothetical protein	CDS	40820	42014	1	CDS_NCTC8325_40821_42014
SAOUHSC_00038	-	conserved hypothetical protein	CDS	42280	42382	-1	CDS_NCTC8325_42281_42382
SAOUHSC_00039	-	conserved hypothetical protein	CDS	42680	43613	-1	CDS_NCTC8325_42681_43613
SAOUHSC_00040	-	conserved hypothetical protein	CDS	43975	44179	1	CDS_NCTC8325_43976_44179
SAOUHSC_00041	-	conserved hypothetical protein	CDS	44227	44524	1	CDS_NCTC8325_44228_44524
SAOUHSC_00042	-	conserved hypothetical protein	CDS	44595	45816	-1	CDS_NCTC8325_44596_45816
