sample	ST	NewST	Contamination	arcc	aroe	glpf	gmk	pta	tpi	yqil	CC	ref	collection
14200_6#1	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#2	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#3	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#4	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#5	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#6	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#7	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#8	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#9	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#10	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#11	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#12	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#13	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#14	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#15	8			3	3	1	1	4	4	3	8	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC8_USA300_FPR3757.dna	coll2017
14200_6#16	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#17	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#18	30			2	2	2	2	6	3	2	30	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC30_MRSA252.fasta	coll2017
14200_6#19	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
14200_6#20	22			7	6	1	5	8	8	6	22	/nfs/users/nfs_f/fc4/2.mrsa_bact/mapping/reference_genomes/CC22_EMRSA15.fasta	coll2017
